,Unnamed: 0,model_name,mask_name,eps,min_samples,buds_predicted,true_positive_x,true_positive_y,true_positive_distance,true_positive_norm_distance
0,0,300_150step_04ovlp,bin_mask_sw_0001.jpg,3,10,2,2374.5,1841.166666666667,101.19425763242592,0.5059712881621308
1,1,300_150step_04ovlp,bin_mask_sw_0010.jpg,3,10,1,2186.0384615384614,1632.1923076923074,9.963394540478301,0.057926712444641267
2,2,300_150step_04ovlp,bin_mask_sw_0015.jpg,3,10,2,2808.590909090909,1588.1363636363635,281.9980730840913,1.0681745192579213
3,3,300_150step_04ovlp,bin_mask_sw_0018.jpg,3,10,2,2174.5,1499.5,93.21212367498127,0.4707683013887942
4,4,300_150step_04ovlp,bin_mask_sw_0021.jpg,3,10,4,2029.5,1889.5,707.9523289035782,2.9014439709163033
5,5,300_150step_04ovlp,bin_mask_sw_0025.jpg,3,10,1,2474.5,1574.5,125.62046011697298,0.6475281449328504
6,6,300_150step_04ovlp,bin_mask_sw_0036.jpg,3,10,2,1991.166666666667,1507.833333333333,114.83345428150372,0.47847272617293124
7,7,300_150step_04ovlp,bin_mask_sw_0037.jpg,3,10,5,2305.75,1893.25,218.71242534433202,0.8347802494058473
8,8,300_150step_04ovlp,bin_mask_sw_0043.jpg,3,10,4,2324.5,1599.5,142.52192813739225,0.6986369026342757
9,9,300_150step_04ovlp,bin_mask_sw_0049.jpg,3,10,9,2024.5,1956.3181818181815,208.92361884764648,0.9496528129438473
10,10,300_150step_04ovlp,bin_mask_sw_0052.jpg,3,10,1,1886.0384615384612,1851.4230769230771,172.3217799872906,0.6577167175087439
11,11,300_150step_04ovlp,bin_mask_sw_0058.jpg,3,10,2,2108.875,1565.125,148.4689571930779,0.806896506484119
12,12,300_150step_04ovlp,bin_mask_sw_0059.jpg,3,10,2,2374.5,1691.166666666667,185.875256855535,1.0806700979972972
13,13,300_150step_04ovlp,bin_mask_sw_0061.jpg,3,10,6,2024.5,1874.5,341.1077542361065,2.471795320551496
14,14,300_150step_04ovlp,bin_mask_sw_0062.jpg,3,10,5,2294.5,1574.5,230.04890784352799,1.575677450983068
15,15,300_150step_04ovlp,bin_mask_sw_0063.jpg,3,10,1,2866.166666666666,1941.166666666667,206.6189461034224,1.541932433607632
16,16,300_150step_04ovlp,bin_mask_sw_0067.jpg,3,10,2,2564.5,1754.5,229.97065030129392,0.9582110429220578
17,17,300_150step_04ovlp,bin_mask_sw_0068.jpg,3,10,1,2399.5,1544.5,101.40266268693344,0.45676875084204244
18,18,300_150step_04ovlp,bin_mask_sw_0070.jpg,3,10,2,2341.1666666666665,1707.833333333333,129.71014695166394,0.5639571606594093
19,19,300_150step_04ovlp,bin_mask_sw_0071.jpg,3,10,4,1874.5,1799.5,136.19287793420037,0.602623353691152
20,20,300_150step_04ovlp,bin_mask_sw_0076.jpg,3,10,1,2099.5,1612.0,218.6944215109293,0.8962886127497101
21,21,300_150step_04ovlp,bin_mask_sw_0078.jpg,3,10,2,2324.5,1819.9545454545453,118.51381688810987,0.5486750781856928
22,22,300_150step_04ovlp,bin_mask_sw_0083.jpg,3,10,3,2374.5,1524.5,14.089002803605373,0.05460853799847043
23,23,300_150step_04ovlp,bin_mask_sw_0084.jpg,3,10,1,2324.5,1799.5,19.81161275615895,0.09434101312456643
24,24,300_150step_04ovlp,bin_mask_sw_0086.jpg,3,10,2,2041.166666666667,1924.5,99.70094170958352,0.5538941206087972
25,25,300_150step_04ovlp,bin_mask_sw_0087.jpg,3,10,1,2024.5,2001.4230769230771,140.56960414494827,0.6059034661420184
26,26,300_150step_04ovlp,bin_mask_sw_0094.jpg,3,10,2,2039.5,2099.5,238.3621194737117,1.018641536212443
27,27,300_150step_04ovlp,bin_mask_sw_0103.jpg,3,10,1,2774.5,1724.5,74.13838412050805,0.2873580779864653
28,28,300_150step_04ovlp,bin_mask_sw_0106.jpg,3,10,1,2674.5,1974.5,161.84715011392694,0.5994338893108405
29,29,300_150step_04ovlp,bin_mask_sw_0110.jpg,3,10,1,2474.5,1874.5,127.70473757852524,0.49497960301753974
30,30,300_150step_04ovlp,bin_mask_sw_0113.jpg,3,10,2,2324.5,1874.5,371.9603473490152,1.2076634654188803
31,31,300_150step_04ovlp,bin_mask_sw_0119.jpg,3,10,0,,,,
32,32,300_150step_04ovlp,bin_mask_sw_0120.jpg,3,10,1,2399.5,2024.5,82.82813531644908,0.3235474035798792
33,33,300_150step_04ovlp,bin_mask_sw_0121.jpg,3,10,1,2654.5,1964.5,95.70005224658969,0.392213328879466
34,34,300_150step_04ovlp,bin_mask_sw_0122.jpg,3,10,0,,,,
35,35,300_150step_04ovlp,bin_mask_sw_0134.jpg,3,10,1,3074.5,1949.5,93.01881530099165,0.3470851317201181
36,36,300_150step_04ovlp,bin_mask_sw_0136.jpg,3,10,5,2645.928571428572,1917.357142857143,168.8232078542641,0.5445909930782699
37,37,300_150step_04ovlp,bin_mask_sw_0141.jpg,3,10,1,2724.5,1824.5,110.03862958070681,0.3667954319356893
38,38,300_150step_04ovlp,bin_mask_sw_0150.jpg,3,10,1,2849.5,2069.5,272.34628692163216,0.84579592211687
39,39,300_150step_04ovlp,bin_mask_sw_0163.jpg,3,10,1,2812.0,1987.0,24.515301344262525,0.08117649451742558
40,40,300_150step_04ovlp,bin_mask_sw_0174.jpg,3,10,1,2699.5,2024.5,149.60113635932052,0.5984045454372819
41,41,300_150step_04ovlp,bin_mask_sw_0175.jpg,3,10,2,2774.5,2099.5,141.09748403143126,0.5689414678686745
42,42,300_150step_04ovlp,bin_mask_sw_0182.jpg,3,10,1,2645.928571428572,1917.357142857143,295.4432332642476,0.9290667712712175
43,43,300_150step_04ovlp,bin_mask_sw_0183.jpg,3,10,1,2924.5,1499.5,567.5795098486202,2.30723377987244
44,44,300_150step_04ovlp,bin_mask_sw_0187.jpg,3,10,1,2949.5,1874.5,63.831810251629236,0.24550696250626633
45,45,300_150step_04ovlp,bin_mask_sw_0189.jpg,3,10,0,,,,
46,46,300_150step_04ovlp,bin_mask_sw_0191.jpg,3,10,1,2774.5,2324.5,343.5032750935572,1.3110812026471645
47,47,300_150step_04ovlp,bin_mask_sw_0213.jpg,3,10,4,2587.0,1199.5,133.29759937823334,0.952125709844524
48,48,300_150step_04ovlp,bin_mask_sw_0258.jpg,3,10,1,2294.5,1784.5,165.66985241739064,0.9631968163801782
49,49,300_150step_04ovlp,bin_mask_sw_0281.jpg,3,10,2,2444.5,1739.5,228.924660095849,1.300708295999142
50,50,300_150step_04ovlp,bin_mask_sw_0282.jpg,3,10,3,2234.5,1604.5,118.58541225631424,0.6112650116304857
51,51,300_150step_04ovlp,bin_mask_sw_0304.jpg,3,10,4,2399.5,1930.75,305.20044642824485,1.9075027901765307
52,52,300_150step_04ovlp,bin_mask_sw_0323.jpg,3,10,2,2399.5,2399.5,908.6960437902214,1.5144934063170357
53,53,300_150step_04ovlp,bin_mask_sw_0330.jpg,3,10,1,3074.5,1830.75,326.75956374680146,0.4322216451677268
54,54,300_150step_04ovlp,bin_mask_sw_0336.jpg,3,10,3,3417.921052631579,2044.2368421052633,310.4895272588047,0.451292917527333
55,55,300_150step_04ovlp,bin_mask_sw_0354.jpg,3,10,2,2954.5,1274.5,340.31235651971264,0.4833982336927736
56,56,300_150step_04ovlp,bin_mask_sw_0370.jpg,3,10,1,3197.2272727272725,2119.9545454545455,311.9989205851215,0.6782585230111337
57,57,300_150step_04ovlp,bin_mask_sw_0372.jpg,3,10,3,2285.0263157894738,2103.4473684210525,243.6945689511525,0.3031026977004384
58,58,300_150step_04ovlp,bin_mask_sw_0374.jpg,3,10,2,2874.5,1199.5,192.6200924099041,0.27053383765435973
59,59,300_150step_04ovlp,bin_mask_sw_0377.jpg,3,10,1,2624.5,1424.5,36.28360511305347,0.0634328760717718
60,60,300_150step_04ovlp,bin_mask_sw_0378.jpg,3,10,1,2881.642857142857,1724.5,125.65522151457772,0.25333714015035746
61,61,300_150step_04ovlp,bin_mask_sw_0379.jpg,3,10,2,3074.5,1424.5,204.153128802867,0.30022518941598086
62,62,300_150step_04ovlp,bin_mask_sw_0381.jpg,3,10,1,2504.5,1597.0,55.1837838499681,0.09854247116065733
63,63,300_150step_04ovlp,bin_mask_sw_0396.jpg,3,10,1,2787.0,1749.5,177.09672498383478,0.340570624968913
64,64,300_150step_04ovlp,bin_mask_sw_0398.jpg,3,10,1,2442.357142857143,1928.071428571429,235.00970453257824,0.4662890962947991
65,65,300_150step_04ovlp,bin_mask_sw_0417.jpg,3,10,1,1768.25,1699.5,95.76174862647406,0.24808743167480318
66,66,300_150step_04ovlp,bin_mask_sw_0429.jpg,3,10,1,1874.5,1899.5,87.27256155287294,0.3861617767826237
